country,region,year,gender,population,CVD,bloodpressure
France,Europe,2000,Male,29224000,1610.8,130.2
France,Europe,2010,Male,30933000,1413.3,128.4
France,Europe,2000,Female,30384000,1316,121.5
France,Europe,2010,Female,32093000,1178.1,118.4
Gabon,Africa,2000,Male,611000,21.3,132
Gabon,Africa,2010,Male,837000,24.4,130.9
Gabon,Africa,2000,Female,620000,27,128.4
Gabon,Africa,2010,Female,803000,27.9,126.7
Gambia,Africa,2000,Male,612000,28.8,132.3
Gambia,Africa,2010,Male,838000,32.4,132.5
Gambia,Africa,2000,Female,620000,22.8,129.5
Gambia,Africa,2010,Female,854000,26.4,130.9
Georgia,Asia,2000,Male,2238000,365.9,132.5
Georgia,Asia,2010,Male,2010000,370.3,133.7
Georgia,Asia,2000,Female,2484000,323.3,127.4
Georgia,Asia,2010,Female,2222000,297.5,127.4
Germany,Europe,2000,Male,39680000,3408.7,132.8
Germany,Europe,2010,Male,39656000,3002.7,128.5
Germany,Europe,2000,Female,41807000,3271.3,125
Germany,Europe,2010,Female,41238000,2714.3,119.4
Ghana,Africa,2000,Male,9565000,297.9,128.3
Ghana,Africa,2010,Male,12134000,337.6,127.3
Ghana,Africa,2000,Female,9374000,456.1,125.7
Ghana,Africa,2010,Female,12378000,666.2,124.2
Greece,Europe,2000,Male,5539000,505.6,127.3
Greece,Europe,2010,Male,5642000,450.1,126.5
Greece,Europe,2000,Female,5603000,422.5,120.8
Greece,Europe,2010,Female,5804000,379.7,118.2
Grenada,Americas,2000,Male,50000,2.9,129.1
Grenada,Americas,2010,Male,52000,3,131
Grenada,Americas,2000,Female,51000,3.3,124
Grenada,Americas,2010,Female,52000,2.7,125.7
Guatemala,Americas,2000,Male,5717000,138.4,123.6
Guatemala,Americas,2010,Male,7186000,147.8,124.6
Guatemala,Americas,2000,Female,5934000,126.6,118.8
Guatemala,Americas,2010,Female,7444000,136.4,119.4
Guinea,Africa,2000,Male,4386000,188.5,131.5
Guinea,Africa,2010,Male,5400000,239,132.4
Guinea,Africa,2000,Female,4422000,211,130.8
Guinea,Africa,2010,Female,5394000,245.8,132.5
Guinea-Bissau,Africa,2000,Male,608000,25.4,130.6
Guinea-Bissau,Africa,2010,Male,763000,27.7,131.1
Guinea-Bissau,Africa,2000,Female,635000,27.2,128.5
Guinea-Bissau,Africa,2010,Female,793000,28.8,128.9
Guyana,Americas,2000,Male,375000,24.5,125.9
Guyana,Americas,2010,Male,373000,28,126.8
Guyana,Americas,2000,Female,379000,20.9,122.1
Guyana,Americas,2010,Female,373000,25.2,123.2
Haiti,Americas,2000,Male,4221000,297.2,125.9
Haiti,Americas,2010,Male,4943000,290.4,127.2
Haiti,Americas,2000,Female,4328000,302.4,123.7
Haiti,Americas,2010,Female,5056000,314.3,124.4
Hungary,Europe,2000,Male,4863000,742.9,135.4
Hungary,Europe,2010,Male,4711000,644.9,135.1
Hungary,Europe,2000,Female,5358000,642.2,128.4
Hungary,Europe,2010,Female,5217000,579,126.3
Iceland,Europe,2000,Male,140000,7.5,126.5
Iceland,Europe,2010,Male,161000,7,125.7
Iceland,Europe,2000,Female,140000,5.4,118.4
Iceland,Europe,2010,Female,159000,4.6,116.7
India,Asia,2000,Male,545514000,28392.1,125.5
India,Asia,2010,Male,638472000,36896.6,127.1
India,Asia,2000,Female,507537000,21099,123.3
India,Asia,2010,Female,592509000,25799.1,124.5
Indonesia,Asia,2000,Male,105868000,6990.4,127.5
Indonesia,Asia,2010,Male,122278000,8917.7,128.2
Indonesia,Asia,2000,Female,105672000,6055,125.7
Indonesia,Asia,2010,Female,120246000,7041.1,126.2
Iran (Islamic Republic of),Asia,2000,Male,33531000,2048.1,122.9
Iran (Islamic Republic of),Asia,2010,Male,37717000,2129.3,123
Iran (Islamic Republic of),Asia,2000,Female,32601000,1838.7,121.5
Iran (Islamic Republic of),Asia,2010,Female,36851000,1596.3,119.4
Iraq,Asia,2000,Male,11890000,573.3,128.6
Iraq,Asia,2010,Male,15549000,625.8,129
Iraq,Asia,2000,Female,11676000,505,129.2
Iraq,Asia,2010,Female,15214000,573.9,127.4
Ireland,Europe,2000,Male,1914000,138.4,133.4
Ireland,Europe,2010,Male,2305000,97.9,130.8
Ireland,Europe,2000,Female,1935000,100,123.8
Ireland,Europe,2010,Female,2322000,70.4,120.4
Israel,Asia,2000,Male,2964000,129.5,126.3
Israel,Asia,2010,Male,3668000,107.8,125
Israel,Asia,2000,Female,3050000,102.1,122.3
Israel,Asia,2010,Female,3758000,84.3,118.5
Italy,Europe,2000,Male,27798000,2025.3,131.2
Italy,Europe,2010,Male,29017000,1718.8,129.2
Italy,Europe,2000,Female,29496000,1795,124.7
Italy,Europe,2010,Female,30713000,1583.4,121.5
Jamaica,Americas,2000,Male,1320000,58.2,125
Jamaica,Americas,2010,Male,1399000,51.6,126
Jamaica,Americas,2000,Female,1337000,51.2,122.8
Jamaica,Americas,2010,Female,1418000,52.6,123.2
Japan,Asia,2000,Male,62630000,3211.2,127.2
Japan,Asia,2010,Male,62879000,3349,126
Japan,Asia,2000,Female,64904000,2621.3,120.1
Japan,Asia,2010,Female,65673000,2774.8,117.8
Jordan,Asia,2000,Male,2645000,107,123.6
Jordan,Asia,2010,Male,3663000,142.2,123.8
Jordan,Asia,2000,Female,2458000,78.3,123
Jordan,Asia,2010,Female,3519000,105.5,120.4
Kazakhstan,Asia,2000,Male,7243000,1076,130.3
Kazakhstan,Asia,2010,Male,7927000,1098.7,131.9
Kazakhstan,Asia,2000,Female,7814000,815.9,126.3
Kazakhstan,Asia,2010,Female,8472000,810.8,125.9
Kenya,Africa,2000,Male,15619000,290,127.2
Kenya,Africa,2010,Male,20554000,285.3,129
Kenya,Africa,2000,Female,15831000,222.8,124.9
Kenya,Africa,2010,Female,20796000,236.3,127.4
Kiribati,Oceania,2000,Male,42000,2.6,126.9
Kiribati,Oceania,2010,Male,51000,3.3,128.7
Kiribati,Oceania,2000,Female,43000,1.9,119.4
Kiribati,Oceania,2010,Female,52000,2.3,121.2
Kuwait,Asia,2000,Male,1199000,45.9,128.5
Kuwait,Asia,2010,Male,1734000,74,128
Kuwait,Asia,2000,Female,852000,17.7,126.8
Kuwait,Asia,2010,Female,1264000,29.1,122.7
Kyrgyzstan,Asia,2000,Male,2433000,218.9,128.8
Kyrgyzstan,Asia,2010,Male,2680000,241.9,130.6
Kyrgyzstan,Asia,2000,Female,2488000,182,124.5
Kyrgyzstan,Asia,2010,Female,2743000,180.5,125.7
Lao People's Democratic Republic,Asia,2000,Male,2657000,138.2,124.1
Lao People's Democratic Republic,Asia,2010,Male,3107000,153.9,124.3
Lao People's Democratic Republic,Asia,2000,Female,2672000,167.4,121.1
Lao People's Democratic Republic,Asia,2010,Female,3139000,180.1,121.4
Latvia,Europe,2000,Male,1096000,199,134.4
Latvia,Europe,2010,Male,970000,179.5,134.8
Latvia,Europe,2000,Female,1289000,181.7,127.9
Latvia,Europe,2010,Female,1149000,159.8,125.7
Lebanon,Asia,2000,Male,1605000,112.1,129.1
Lebanon,Asia,2010,Male,2212000,152.8,129.4
Lebanon,Asia,2000,Female,1630000,88.1,125.2
Lebanon,Asia,2010,Female,2125000,109.2,121.9
Lesotho,Africa,2000,Male,899000,32.3,127.6
Lesotho,Africa,2010,Male,988000,38.3,127.2
Lesotho,Africa,2000,Female,969000,50.2,128.2
Lesotho,Africa,2010,Female,1052000,56.5,129.4
Liberia,Africa,2000,Male,1441000,46,131.1
Liberia,Africa,2010,Male,1985000,58.8,131.1
Liberia,Africa,2000,Female,1443000,44.4,129.3
Liberia,Africa,2010,Female,1963000,56.6,129.5
Libya,Africa,2000,Male,2780000,155.1,131.4
Libya,Africa,2010,Male,3150000,166,133
Libya,Africa,2000,Female,2575000,126.3,130.7
Libya,Africa,2010,Female,3020000,123,129.6
Lithuania,Europe,2000,Male,1639000,215.8,136.3
Lithuania,Europe,2010,Male,1438000,234.9,136.8
Lithuania,Europe,2000,Female,1863000,196.9,130.4
Lithuania,Europe,2010,Female,1686000,210.1,128
Luxembourg,Europe,2000,Male,215000,14.1,133.8
Luxembourg,Europe,2010,Male,252000,12.3,130.9
Luxembourg,Europe,2000,Female,221000,12.8,124.7
Luxembourg,Europe,2010,Female,256000,10.5,121.8
Madagascar,Africa,2000,Male,7850000,391.3,129.1
Madagascar,Africa,2010,Male,10536000,458,130.1
Madagascar,Africa,2000,Female,7916000,356.3,127.6
Madagascar,Africa,2010,Female,10615000,419.6,129.1
Malawi,Africa,2000,Male,5610000,200.4,131.3
Malawi,Africa,2010,Male,7499000,159.4,133.8
Malawi,Africa,2000,Female,5766000,156.1,128.2
Malawi,Africa,2010,Female,7668000,135.8,131.2
Malaysia,Asia,2000,Male,11813000,512,128.5
Malaysia,Asia,2010,Male,14488000,684.8,129.9
Malaysia,Asia,2000,Female,11373000,388.2,125.2
Malaysia,Asia,2010,Female,13624000,471.6,126.1
Maldives,Asia,2000,Male,142000,7.3,126.4
Maldives,Asia,2010,Male,200000,6.9,128.2
Maldives,Asia,2000,Female,138000,4.7,122.2
Maldives,Asia,2010,Female,165000,3.8,124.8
Mali,Africa,2000,Male,5440000,238,127.1
Mali,Africa,2010,Male,7531000,264.9,127.3
Mali,Africa,2000,Female,5527000,339.2,126.5
Mali,Africa,2010,Female,7544000,356.3,127.1
Malta,Europe,2000,Male,198000,13.6,131.8
Malta,Europe,2010,Male,207000,12.5,129.8
Malta,Europe,2000,Female,199000,11.6,125.5
Malta,Europe,2010,Female,209000,10.3,121.2
Mauritania,Africa,2000,Male,1354000,41.1,132.4
Mauritania,Africa,2010,Male,1812000,54.8,132.1
Mauritania,Africa,2000,Female,1355000,44.1,129.3
Mauritania,Africa,2010,Female,1797000,61.3,128.9
Mauritius,Africa,2000,Male,588000,53.6,127.1
Mauritius,Africa,2010,Male,619000,44.2,129.3
Mauritius,Africa,2000,Female,597000,38.1,123.7
Mauritius,Africa,2010,Female,629000,29,125.5
Mexico,Americas,2000,Male,50507000,1224.4,125.9
Mexico,Americas,2010,Male,58388000,1701.3,126.6
Mexico,Americas,2000,Female,51213000,1060.3,122.6
Mexico,Americas,2010,Female,58931000,1346.4,122.5
Micronesia (Federated States of),Oceania,2000,Male,54000,2.8,126.9
Micronesia (Federated States of),Oceania,2010,Male,53000,2.9,128.5
Micronesia (Federated States of),Oceania,2000,Female,53000,2.8,120.5
Micronesia (Federated States of),Oceania,2010,Female,51000,2.7,123.1
Mongolia,Asia,2000,Male,1196000,101.5,131.9
Mongolia,Asia,2010,Male,1346000,115.9,133.1
Mongolia,Asia,2000,Female,1202000,89.8,126.6
Mongolia,Asia,2010,Female,1367000,77.4,126.7
Montenegro,Europe,2000,Male,303000,34.7,132.7
Montenegro,Europe,2010,Male,308000,35,134.5
Montenegro,Europe,2000,Female,311000,32.6,127.4
Montenegro,Europe,2010,Female,317000,31.7,126.1
Morocco,Africa,2000,Male,14294000,911.1,126.9
Morocco,Africa,2010,Male,15973000,666.3,127.5
Morocco,Africa,2000,Female,14556000,890.5,126.8
Morocco,Africa,2010,Female,16437000,670.6,125.3
Mozambique,Africa,2000,Male,8666000,373.3,132.2
Mozambique,Africa,2010,Male,11761000,322.6,133.4
Mozambique,Africa,2000,Female,9401000,390.7,130.1
Mozambique,Africa,2010,Female,12460000,343.2,131.9
Myanmar,Asia,2000,Male,22520000,966.9,124.2
Myanmar,Asia,2010,Male,24478000,1232.7,125.6
Myanmar,Asia,2000,Female,23576000,1106.2,121.4
Myanmar,Asia,2010,Female,25678000,1334,122.6
Namibia,Africa,2000,Male,929000,37.1,130.6
Namibia,Africa,2010,Male,1052000,36.9,130.2
Namibia,Africa,2000,Female,971000,37.7,128.2
Namibia,Africa,2010,Female,1121000,40.6,126.8
Nepal,Asia,2000,Male,11806000,652.1,123.3
Nepal,Asia,2010,Male,13182000,767.6,126.1
Nepal,Asia,2000,Female,11935000,448.3,121.8
Nepal,Asia,2010,Female,13842000,483.2,123.9
Netherlands,Europe,2000,Male,7889000,528.4,131.6
Netherlands,Europe,2010,Male,8284000,382.4,130
Netherlands,Europe,2000,Female,8037000,422.4,123.9
Netherlands,Europe,2010,Female,8399000,319.1,121.9
New Zealand,Oceania,2000,Male,1894000,111.9,128.1
New Zealand,Oceania,2010,Male,2146000,97.1,126.6
New Zealand,Oceania,2000,Female,1965000,88,120.7
New Zealand,Oceania,2010,Female,2224000,78.1,118.1
Nicaragua,Americas,2000,Male,2487000,79.1,126.6
Nicaragua,Americas,2010,Male,2827000,79.1,126.7
Nicaragua,Americas,2000,Female,2540000,81,122.7
Nicaragua,Americas,2010,Female,2911000,77,122.5
Niger,Africa,2000,Male,5635000,215.9,136
Niger,Africa,2010,Male,8210000,314,136.3
Niger,Africa,2000,Female,5718000,222.9,131.6
Niger,Africa,2010,Female,8216000,310.4,133.2
Nigeria,Africa,2000,Male,61685000,2475.7,128.2
Nigeria,Africa,2010,Male,80204000,2877.8,126.6
Nigeria,Africa,2000,Female,60667000,2882.7,126.7
Nigeria,Africa,2010,Female,78374000,3215.2,124.1
Norway,Europe,2000,Male,2229000,166.7,133.9
Norway,Europe,2010,Male,2442000,122.3,132.2
Norway,Europe,2000,Female,2270000,139.5,126.7
Norway,Europe,2010,Female,2443000,99,123.3
Oman,Asia,2000,Male,1273000,58.7,130.2
Oman,Asia,2010,Male,1835000,66.9,131.4
Oman,Asia,2000,Female,995000,35.4,126.9
Oman,Asia,2010,Female,1207000,30.9,124.2
Pakistan,Asia,2000,Male,71471000,4514.5,124.8
Pakistan,Asia,2010,Male,87687000,5491,127.6
Pakistan,Asia,2000,Female,67052000,3041.8,124
Pakistan,Asia,2010,Female,82873000,3823.9,126.1
Panama,Americas,2000,Male,1527000,46,127.2
Panama,Americas,2010,Male,1830000,64,127.5
Panama,Americas,2000,Female,1503000,33.6,121.9
Panama,Americas,2010,Female,1813000,43.8,121.6
Papua New Guinea,Oceania,2000,Male,2831000,156.9,124.3
Papua New Guinea,Oceania,2010,Male,3615000,184,125.8
Papua New Guinea,Oceania,2000,Female,2741000,134.2,120.7
Papua New Guinea,Oceania,2010,Female,3493000,154.8,123.6
Paraguay,Americas,2000,Male,2683000,122.6,128.9
Paraguay,Americas,2010,Male,3150000,131,129.3
Paraguay,Americas,2000,Female,2619000,105.3,122.6
Paraguay,Americas,2010,Female,3059000,109,122.5
Peru,Americas,2000,Male,12951000,402,121.6
Peru,Americas,2010,Male,14676000,471.3,122.8
Peru,Americas,2000,Female,12964000,325.2,116.6
Peru,Americas,2010,Female,14698000,359.7,115.6
Philippines,Asia,2000,Male,39280000,2184.1,123.5
Philippines,Asia,2010,Male,47310000,3442.4,125
Philippines,Asia,2000,Female,38711000,1585.3,117.2
Philippines,Asia,2010,Female,46417000,2275.5,118.8
Poland,Europe,2000,Male,18715000,2151.2,133.4
Poland,Europe,2010,Male,18529000,1978.8,134
Poland,Europe,2000,Female,19835000,1679.9,127.4
Poland,Europe,2010,Female,19794000,1551.4,124.7
Portugal,Europe,2000,Male,4997000,425.2,132.1
Portugal,Europe,2010,Male,5100000,305.7,129.8
Portugal,Europe,2000,Female,5358000,386.1,126.5
Portugal,Europe,2010,Female,5552000,289.9,121.4
Qatar,Asia,2000,Male,386000,7.9,128.3
Qatar,Asia,2010,Male,1349000,19.5,127.8
Qatar,Asia,2000,Female,206000,3.2,126.3
Qatar,Asia,2010,Female,430000,4.8,121.4
Romania,Europe,2000,Male,10825000,1728.3,131.9
Romania,Europe,2010,Male,9924000,1559.7,134.1
Romania,Europe,2000,Female,11303000,1488.3,126.1
