Country,Both sexes,Male,Female
Saint Vincent and the Grenadines,36.3,33,39.2
Samoa,34.6,31.4,37.8
Sao Tome and Principe,18.1,15.9,19.7
Saudi Arabia,39,36.4,42.1
Senegal,21.4,19.9,22.9
Serbia,49.8,47.4,52
Seychelles,57.7,59.1,55.3
Sierra Leone,16.1,14.3,17.6
Singapore,57.5,56.3,58.5
Slovakia,52.5,52.7,51.7
Slovenia,56.3,56.8,55.3
Solomon Islands,33.2,30.1,36.5
Somalia,24.7,23.6,25.5
South Africa,35.5,31.6,38
South Korea,26.4,24,28.1
Spain,56.1,58.9,52.9
Sri Lanka,35.8,32.9,38.3
Sudan,32.9,33.1,32.6
Suriname,35.6,32.1,38.6
Sweden,51.8,56.1,47
Switzerland,59.2,61.1,56.9
Syrian Arab Republic,40.5,38.3,42.4
Tajikistan,24,22.5,25.3
Tanzania,23.7,21.6,25.5
Thailand,55.5,54.6,56.1
Timor-Leste,26.7,24.1,29.1
Togo,17.1,15.2,18.7
Tonga,49.7,53.4,45.4
Trinidad and Tobago,39.1,36.5,41.1
Tunisia,40.7,37.3,43.8
Turkey,39.7,38.1,41
Turkmenistan,35.1,33.8,35.8
Uganda,22.2,20,24
Ukraine,44.4,43.1,44.7
United Arab Emirates,57.6,56.8,58.2
United Kingdom,63.4,65.2,61.3
United States of America,53.8,52.9,54.2
Uruguay,42.3,43.3,40.9
Uzbekistan,26.8,24.2,28.9
Vanuatu,37.6,36.1,39.3
Venezuela,38.4,33.4,43.1
Viet Nam,36.1,33.9,38.1
Yemen,32.3,30.7,33.6
Zambia,27.7,26.5,28.5
Zimbabwe,23.9,21.8,25.3
