Country,Both sexes,Male,Female
Afghanistan,21.9,20.9,22.8
Albania,45.3,46.3,44.3
Algeria,39.4,37.3,41.4
Andorra,67.1,69.7,64.1
Angola,30.9,29.7,31.8
Antigua and Barbuda,43,40.4,45.4
Argentina,50.5,50.6,50
Armenia,40.8,39.6,41.5
Australia,55.2,54.8,55.3
Austria,59.7,61.3,57.7
Azerbaijan,34.8,33.1,36
Bahamas,51.8,49.3,53.7
Bahrain,53.4,52.5,54.2
Bangladesh,25.7,24.9,26.4
Barbados,42.8,39.5,45.1
Belarus,51.1,50.5,50.8
Belgium,62.4,64.6,59.9
Belize,34,30.7,37.4
Benin,20.3,18.9,21.4
Bhutan,31.6,32.2,30.6
Bolivia,36.2,34.3,37.7
Bosnia and Herzegovina,39.2,38.5,39.5
Botswana,37.9,36.1,38.9
Brazil,44.2,44,44
Brunei Darussalam,55.2,55.1,55.8
Bulgaria,49.9,50.3,49
Burkina Faso,17.7,16.3,18.8
Burundi,18.9,17.1,20.2
Cabo Verde,24.5,23.7,24.8
Cambodia,30,26.9,32
Cameroon,21.9,19.5,24
Canada,53.4,53.4,52.9
Central African Republic,22.2,20.3,23.7
Chad,17.9,16.3,19.2
Chile,48.6,48.6,48.1
China,33.4,31.5,35.1
Colombia,42.4,41.1,43.2
Comoros,24,22.7,25
Congo,29,26.7,30.7
Congo,16.1,14.2,17.6
Cook Islands,59,59.3,58.3
Costa Rica,41.1,37.4,44.6
Croatia,49.8,49.4,49.7
Cuba,31.9,27.9,35.5
Cyprus,57.1,58.7,55.5
Czechia,53.9,54.4,52.7
Denmark,65.2,68.3,61.8
Djibouti,36.7,36.8,36.3
Dominica,37.9,31.7,43.4
Dominican Republic,32.1,28,36.2
Ecuador,39.8,38.2,41.2
Egypt,39.9,33.9,45.3
El Salvador,34.9,31.4,37.7
Equatorial Guinea,40.9,39.8,41.8
Eritrea,21.4,21,21.5
Estonia,56.7,56,56.7
Eswatini,31.2,29.2,32.7
Ethiopia,21.3,21,21.5
Fiji,53.2,56.4,49.7
Finland,59,57.5,59.3
France,62,63.5,60.2
Gabon,42.5,40.5,44.2
Gambia,20.3,18.1,22.5
Georgia,37.1,35.6,38
Germany,65.6,69.6,61.4
Ghana,18.1,15.6,20.6
Greece,48.2,50.1,45.9
Grenada,34.3,30.4,37.4
Guatemala,27.7,23.3,31.6
Guinea,18.7,16.4,20.6
Guinea-Bissau,17,15.4,18.4
Guyana,23.3,20.3,26.7
Haiti,22.6,19.4,25.4
Honduras,30.1,26.5,33.3
Hungary,55.2,55.4,54
Iceland,69.8,72.5,67
India,27.9,26.3,29.5
Indonesia,35.8,33.1,38.2
Iran,54.1,49.8,58.1
Iraq,44,43.7,44.1
Ireland,62.6,65.5,59.5
Israel,53.5,51.8,54.8
Italy,62.2,62.3,61.6
Ivory Coast,21,19.2,22.8
Jamaica,30.7,27.1,34
Japan,57.1,58.2,55.7
Jordan,48.8,47.8,49.6
Kazakhstan,45.7,45,45.6
Kenya,26.9,26.3,27.2
Kiribati,35.5,32.6,38.2
Kuwait,56.2,56.2,55.7
Kyrgyzstan,30.1,28.3,31.2
Laos,31.4,28.8,33.6
Latvia,55.7,55.3,55.2
Lebanon,44.2,41,47
Lesotho,23,21.1,24.1
Liberia,16.1,14.1,17.8
Libya,35.6,34.8,36.6
Lithuania,54.8,54.9,54
Luxembourg,66.9,69.5,64.1
Macedonia,43.2,42.4,43.7
Madagascar,24.4,23.8,24.8
Malawi,24.1,23.1,24.9
Malaysia,52.1,50,54
Maldives,41.7,37.4,46.2
Mali,19.4,18,20.3
Malta,59,60.7,56.9
Marshall Islands,46.1,43.1,49
Mauritania,22.2,21.3,22.9
Mauritius,47.1,47.8,46
Mexico,50.7,47.4,53.6
Micronesia,48.1,48.5,47.5
Mongolia,37.3,37,37.4
Montenegro,48.3,48.4,47.9
Morocco,37.2,35.3,39
Mozambique,26,26.1,25.9
Myanmar,30.4,27.6,32.8
Namibia,33.1,31.1,34.5
Nauru,46.2,41.2,50.9
Nepal,23.2,22.1,24.1
Netherlands,60.5,62.5,58.2
New Zealand,56.2,56.8,55.4
Nicaragua,30,27,32.9
Niger,15.2,14.2,16.5
Nigeria,16.8,14,19.4
North Korea,42.5,41.7,42.7
Norway,61.9,64.2,59.3
Oman,49.6,48.4,50.7
Pakistan,31,30.5,31.4
Palau,54.7,54.7,54.8
Panama,42.8,40.1,45.3
Papua New Guinea,38.2,36.5,39.8
Paraguay,38.3,36.4,40.1
Peru,38.6,37.5,39.4
Philippines,43.3,39.3,46.7
Poland,57.1,59.9,53.8
Portugal,55.9,57.2,54.3
Qatar,57,56.8,57.5
Republic of Moldova,36.5,35.2,36.9
Romania,45.8,46,45.2
Russian Federation,50.6,47.3,52.1
Rwanda,23,20.7,24.6
Saint Kitts and Nevis,41.8,39.3,44.1
Saint Lucia,37.7,34.7,40.4
