Country,Physical_inactivity,Overweight,Obese,Region
Singapore,36.5,30.2,5.4,Asia
Slovakia,34.9,53.7,18.4,Europe
Slovenia,32.2,53.5,18.1,Europe
Solomon Islands,18.2,50.4,18.7,Oceania
Somalia,25,25,6.4,Africa
South Africa,38.2,49.9,25.1,Africa
South Korea,25,29.6,5.5,Asia
Spain,26.8,59.4,21.7,Europe
Sri Lanka,28.9,19.6,3.7,Asia
Sudan,25,25.2,6.5,Africa
Suriname,44.4,55.6,23.5,Americas
Sweden,23.1,53.9,18.2,Europe
Switzerland,23.7,52,17.3,Europe
Syrian Arab Republic,25,57.1,23.8,Asia
Tajikistan,29.3,41.1,11.3,Asia
Tanzania,6.5,23.8,6.3,Africa
Thailand,24.6,26.7,7,Asia
Timor-Leste,17.8,17.8,2.6,Asia
Togo,9.8,24.6,6.5,Africa
Tonga,17.4,75.7,44.1,Oceania
Trinidad and Tobago,38.2,41.7,15.3,Americas
Tunisia,30.4,57.8,23.4,Africa
Turkey,30.6,63.1,28.2,Asia
Turkmenistan,25,47.5,15.3,Asia
Uganda,5.5,19.4,3.9,Africa
Ukraine,19.6,56,22,Europe
United Arab Emirates,41.4,64.1,27.7,Asia
United Kingdom,35.9,60.6,24.2,Europe
United States of America,40,64.8,32.3,Americas
Uruguay,22.4,59.7,25.1,Americas
Uzbekistan,19.1,44.2,13.5,Asia
Vanuatu,8,52.8,21.3,Oceania
Venezuela,31.4,61,23.3,Americas
Vietnam,25.4,14.7,1.4,Asia
Yemen,25,43.7,13.5,Asia
Zambia,22.1,24.5,6.3,Africa
Zimbabwe,26.8,35.7,13.8,Africa
